airquality,temperature,humidity,clear,red,green,blue,illuminance,time,steps,quality
0,384.96,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:36:12,15214,70
1,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:36:22,15214,70
2,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:36:32,15214,70
3,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:36:42,15214,70
4,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:36:52,15214,70
5,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:37:02,15214,70
6,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:37:12,15214,70
7,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:37:22,15214,70
8,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:37:32,15214,70
9,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:37:42,15214,70
10,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:37:52,15214,70
11,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:38:02,15214,70
12,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:38:12,15214,70
13,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:38:22,15214,70
14,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:38:32,15214,70
15,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:38:42,15214,70
16,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:38:52,15214,70
17,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:39:02,15214,70
18,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:39:13,15214,70
19,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:39:23,15214,70
20,384.96,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:39:33,15214,70
21,384.96,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:39:43,15214,70
22,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:39:53,15214,70
23,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:40:03,15214,70
24,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:40:13,15214,70
25,384.96,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:40:23,15214,70
26,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:40:33,15214,70
27,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:40:43,15214,70
28,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:40:53,15214,70
29,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:41:03,15214,70
30,384.96,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:41:13,15214,70
31,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:41:23,15214,70
32,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:41:33,15214,70
33,384.96,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:41:43,15214,70
34,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:41:53,15214,70
35,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:42:03,15214,70
36,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:42:13,15214,70
37,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:42:23,15214,70
38,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:42:33,15214,70
39,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:42:43,15214,70
40,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:42:53,15214,70
41,384.96,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:43:03,15214,70
42,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:43:13,15214,70
43,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:43:23,15214,70
44,382.31,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:43:33,15214,70
45,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:43:43,15214,70
46,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:43:53,15214,70
47,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:44:03,15214,70
48,383.63,30.0,58.0,0,0,0,0,0.0,2017-03-25 00:44:13,15214,70
