airquality, clear, red, green, blue, illuminance, timestamp
6530, 0, 0, 0, 0, 0.0, 2017-03-21 00:41:19.760104+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:41:30.278386+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:41:40.301925+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:41:50.327320+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 00:42:00.356138+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:42:10.377507+05:30
665.85, 0, 0, 0, 0, 0.0, 2017-03-21 00:42:20.397784+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:42:30.417706+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:42:40.438964+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:42:50.456533+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:43:00.477873+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:43:10.499111+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:43:20.520654+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:43:30.541848+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:43:40.562955+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:43:50.578770+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:44:00.600138+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:44:10.621442+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:44:20.637754+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:44:30.658904+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:44:40.680267+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:44:50.701456+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:45:00.722574+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:45:10.743637+05:30
659.03, 0, 0, 0, 0, 0.0, 2017-03-21 00:45:20.764963+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:45:30.786108+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:45:40.807234+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:45:50.828403+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:46:00.849648+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:46:10.871136+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:46:20.892301+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:46:30.908324+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:46:40.929545+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:46:50.950865+05:30
663.57, 0, 0, 0, 0, 0.0, 2017-03-21 00:47:00.972071+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:47:10.993202+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:47:21.008539+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:47:31.029959+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:47:41.051321+05:30
661.30, 0, 0, 0, 0, 0.0, 2017-03-21 00:47:51.072382+05:30
