airquality, temperature, humidity, clear, red, green, blue, illuminance, timestamp
30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:33:33.478372+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:33:44.014294+05:30
373.16, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:33:54.048651+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:34:04.076619+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:34:14.102146+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:34:24.127332+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:34:34.155206+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:34:44.172530+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:34:54.206499+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:35:04.232755+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:35:14.261067+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:35:24.290832+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:35:34.328204+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:35:44.356246+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:35:54.387308+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:36:04.424034+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:36:14.452088+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:36:24.483219+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:36:34.520281+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:36:44.547927+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:36:54.581055+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:37:04.616897+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:37:14.644384+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:37:24.694464+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:37:34.730599+05:30
373.16, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:37:44.755606+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:37:54.784855+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:38:04.816995+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:38:14.845576+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:38:24.870691+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:38:34.904141+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:38:44.933015+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:38:54.958121+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:39:04.991592+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:39:15.020096+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:39:25.044985+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:39:35.079575+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:39:45.099938+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:39:55.124888+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:40:05.158344+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:40:15.185514+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:40:25.210701+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:40:35.244186+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:40:45.281748+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:40:55.308208+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:41:05.341811+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:41:15.378600+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:41:25.403700+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:41:35.438480+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:41:45.474704+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:41:55.502373+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:42:05.536053+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:42:15.566829+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:42:25.607087+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:42:35.657409+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:42:45.691966+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:42:55.717103+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:43:05.750950+05:30
373.16, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:43:15.788525+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:43:25.808564+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:43:35.828672+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:43:45.862293+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:43:55.884684+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:44:05.910062+05:30
373.16, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:44:15.937385+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:44:25.964982+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:44:35.990764+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:44:46.024421+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:44:56.052135+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:45:06.077857+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:45:16.111567+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:45:26.148764+05:30
373.16, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:45:36.175956+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:45:46.210326+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:45:56.236859+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:46:06.264504+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:46:16.298558+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:46:26.334786+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:46:36.362472+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:46:46.386483+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:46:56.422485+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:47:06.450406+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:47:16.483733+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:47:26.519983+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:47:36.549182+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:47:46.586828+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:47:56.634712+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:48:06.662574+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:48:16.688452+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:48:26.721684+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:48:36.750605+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:48:46.775448+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:48:56.809037+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:49:06.836626+05:30
377.06, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:49:16.861805+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:49:26.896568+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:49:36.922680+05:30
377.06, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:49:46.948556+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:49:56.982447+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:50:07.010289+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:50:17.036010+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:50:27.066585+05:30
374.45, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:50:37.103922+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:50:47.131554+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:50:57.165906+05:30
375.75, 30.00, 58.00, 0, 0, 0, 0, 0.0, 2017-03-26 00:51:07.195771+05:30
